,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
0,2,8,10,21,1,0,0,0,1,1,1,2014
1,2,10,10,27,1,0,0,0,1,1,2,2014
2,2,11,11,26,0,0,0,0,1,1,3,2014
3,2,10,11,21,1,0,0,0,1,1,4,2014
4,1,6,10,16,1,0,0,0,1,1,5,2014
5,2,11,10,27,1,0,0,0,1,1,6,2014
6,14,12,11,23,1,0,0,0,1,1,7,2014
7,2,10,11,14,1,0,0,0,1,1,8,2014
8,4,10,11,18,1,0,0,0,1,1,9,2014
9,9,4,10,6,0,1,0,0,1,1,10,2014
10,2,4,5,5,1,1,0,0,1,1,11,2014
11,2,2,5,8,0,1,0,0,1,1,12,2014
12,4,8,11,11,1,0,0,0,1,1,13,2014
13,10,5,11,16,1,0,0,0,1,1,14,2014
14,2,5,11,13,1,0,0,0,1,1,15,2014
15,9,9,11,21,1,0,0,0,1,1,16,2014
16,4,8,10,24,0,0,0,0,1,1,17,2014
17,2,7,13,8,0,0,0,0,1,1,18,2014
18,4,7,11,6,1,0,0,0,1,1,19,2014
19,2,6,12,5,0,0,0,0,1,1,20,2014
20,2,3,10,11,0,1,0,0,1,1,21,2014
21,6,3,12,14,1,0,0,0,1,1,22,2014
22,5,7,10,10,1,0,0,0,1,1,23,2014
23,2,6,12,6,0,0,0,0,1,1,24,2014
24,2,7,12,13,1,0,0,0,1,1,25,2014
25,2,6,11,16,1,0,0,0,1,1,26,2014
26,2,6,10,24,1,0,0,0,1,1,27,2014
27,2,4,11,18,1,0,0,0,1,1,28,2014
28,2,4,11,13,1,0,0,0,1,1,29,2014
29,5,6,12,8,0,0,0,0,1,1,30,2014
30,5,3,7,11,1,1,0,0,1,1,31,2014
31,2,7,11,26,1,0,0,0,1,2,1,2014
32,4,6,11,13,0,0,0,0,1,2,2,2014
33,2,4,12,10,0,0,0,0,1,2,3,2014
34,2,7,10,23,0,0,0,0,1,2,4,2014
35,2,8,11,31,1,0,0,0,1,2,5,2014
36,2,9,11,23,1,0,0,0,1,2,6,2014
37,7,9,11,35,1,0,0,0,1,2,7,2014
38,2,8,10,29,1,0,0,0,1,2,8,2014
39,2,7,10,29,0,0,0,0,1,2,9,2014
40,4,7,10,10,0,0,0,0,1,2,10,2014
41,3,6,11,19,1,0,0,0,1,2,11,2014
42,2,6,11,18,1,0,0,0,1,2,12,2014
43,3,6,11,21,1,0,0,0,1,2,13,2014
44,3,9,10,18,1,0,0,0,1,2,14,2014
45,2,9,11,31,0,0,0,0,1,2,15,2014
46,2,8,11,18,0,0,0,0,1,2,16,2014
47,3,7,11,13,0,0,0,0,1,2,17,2014
48,2,6,13,8,0,0,0,0,1,2,18,2014
49,3,9,12,8,1,0,0,0,1,2,19,2014
50,3,10,10,16,1,0,0,0,1,2,20,2014
51,2,8,10,19,1,0,0,0,1,2,21,2014
52,2,7,10,13,1,0,0,0,1,2,22,2014
53,2,8,9,10,0,1,0,0,1,2,23,2014
54,3,9,11,13,0,0,0,0,1,2,24,2014
55,2,10,10,21,1,0,0,0,1,2,25,2014
56,5,8,11,10,0,0,0,0,1,2,26,2014
57,2,6,10,11,1,0,0,0,1,2,27,2014
58,3,7,11,13,1,0,0,0,1,2,28,2014
59,2,6,12,10,1,0,0,0,1,3,1,2014
60,2,4,8,10,0,0,0,0,1,3,2,2014
61,2,7,11,21,1,0,0,0,1,3,3,2014
62,2,7,10,6,0,0,0,0,1,3,4,2014
63,2,7,11,5,0,0,0,0,1,3,5,2014
64,2,8,11,5,0,0,0,0,1,3,6,2014
65,4,8,9,6,0,0,0,0,1,3,7,2014
66,2,10,8,8,0,0,0,0,1,3,8,2014
67,2,12,11,10,0,0,0,0,1,3,9,2014
68,2,11,9,8,0,0,0,0,1,3,10,2014
69,3,12,4,14,0,0,0,0,1,3,11,2014
70,6,11,6,10,0,0,0,0,1,3,12,2014
71,3,11,5,3,0,0,0,0,1,3,13,2014
72,4,12,4,3,0,1,0,0,1,3,14,2014
73,3,11,7,14,0,0,0,0,1,3,15,2014
74,5,12,11,11,0,0,0,0,1,3,16,2014
75,6,8,9,8,0,0,0,0,1,3,17,2014
76,3,11,10,8,0,0,0,0,1,3,18,2014
77,2,12,12,11,0,0,0,0,1,3,19,2014
78,2,12,12,11,0,0,0,0,1,3,20,2014
79,2,11,12,21,1,0,0,0,1,3,21,2014
80,2,10,10,21,1,0,0,0,1,3,22,2014
81,2,7,11,16,1,0,0,0,1,3,23,2014
82,5,6,12,6,0,0,0,0,1,3,24,2014
83,11,6,13,11,1,0,0,0,1,3,25,2014
84,2,7,11,11,0,0,0,0,1,3,26,2014
85,2,6,10,6,0,0,0,0,1,3,27,2014
86,5,8,10,8,0,0,0,0,1,3,28,2014
87,2,12,9,13,0,0,0,0,1,3,29,2014
88,2,12,12,8,0,0,0,0,1,3,30,2014
89,2,13,10,6,0,0,0,0,1,3,31,2014
90,2,13,12,6,0,0,0,0,2,4,1,2014
91,2,13,11,10,0,0,0,0,2,4,2,2014
92,2,14,11,13,0,0,0,0,2,4,3,2014
93,4,12,13,6,1,0,0,0,2,4,4,2014
94,4,12,11,5,0,0,0,0,2,4,5,2014
95,2,16,10,11,0,0,0,0,2,4,6,2014
96,3,17,11,14,0,0,0,1,2,4,7,2014
97,2,11,10,21,1,0,0,0,2,4,8,2014
98,1,9,11,5,0,0,0,0,2,4,9,2014
99,2,11,12,5,0,0,0,0,2,4,10,2014
100,2,12,11,10,0,0,0,0,2,4,11,2014
101,2,11,9,8,0,0,0,0,2,4,12,2014
102,2,11,12,8,0,0,0,0,2,4,13,2014
103,5,11,11,11,0,0,0,0,2,4,14,2014
104,9,9,11,11,0,0,0,0,2,4,15,2014
105,13,9,12,13,0,0,0,0,2,4,16,2014
106,6,12,12,8,0,0,0,0,2,4,17,2014
107,8,11,12,14,0,0,0,0,2,4,18,2014
108,2,9,12,13,1,0,0,0,2,4,19,2014
109,2,13,12,8,0,0,0,0,2,4,20,2014
110,5,12,11,5,1,0,0,0,2,4,21,2014
111,5,15,11,5,1,0,0,1,2,4,22,2014
112,2,12,8,6,1,1,0,0,2,4,23,2014
113,2,15,11,6,1,0,0,0,2,4,24,2014
114,8,13,7,10,1,0,0,1,2,4,25,2014
115,2,10,11,13,1,0,0,1,2,4,26,2014
116,2,11,12,16,1,0,0,0,2,4,27,2014
117,7,11,12,10,1,0,0,0,2,4,28,2014
118,6,10,10,6,1,0,0,0,2,4,29,2014
119,3,13,9,8,1,1,0,0,2,4,30,2014
120,2,12,9,5,1,1,0,1,2,5,1,2014
121,6,12,10,11,1,0,0,0,2,5,2,2014
122,2,10,12,14,0,0,0,0,2,5,3,2014
123,2,10,13,8,0,0,0,0,2,5,4,2014
124,2,13,11,8,0,0,0,0,2,5,5,2014
125,3,16,11,11,1,0,0,0,2,5,6,2014
126,7,14,10,16,1,0,0,0,2,5,7,2014
127,2,12,10,11,1,0,0,0,2,5,8,2014
128,3,17,10,18,0,0,0,0,2,5,9,2014
129,4,14,11,13,1,0,0,0,2,5,10,2014
130,2,12,10,23,1,1,0,1,2,5,11,2014
131,7,11,11,18,1,0,0,1,2,5,12,2014
132,9,11,11,11,1,0,0,0,2,5,13,2014
133,8,11,10,8,0,0,0,0,2,5,14,2014
134,2,11,12,10,0,0,0,0,2,5,15,2014
135,17,12,12,11,0,0,0,0,2,5,16,2014
136,2,15,11,10,0,0,0,0,2,5,17,2014
137,2,16,11,6,0,0,0,0,2,5,18,2014
138,3,18,12,11,0,0,0,0,2,5,19,2014
139,3,18,10,14,1,0,0,0,2,5,20,2014
140,3,16,11,10,1,0,0,1,2,5,21,2014
141,7,16,10,18,1,0,0,0,2,5,22,2014
142,4,14,13,16,1,0,0,0,2,5,23,2014
143,2,12,11,19,1,0,0,0,2,5,24,2014
144,4,13,11,8,0,0,0,0,2,5,25,2014
145,3,14,11,8,1,0,0,0,2,5,26,2014
146,3,14,11,13,1,0,0,0,2,5,27,2014
147,3,14,11,11,1,0,0,0,2,5,28,2014
148,2,14,9,6,1,0,0,0,2,5,29,2014
149,4,17,12,6,0,0,0,0,2,5,30,2014
150,2,16,10,10,0,0,0,0,2,5,31,2014
151,2,14,13,8,0,0,0,0,2,6,1,2014
152,4,16,10,5,0,0,0,0,2,6,2,2014
153,3,17,11,6,0,0,0,0,2,6,3,2014
154,3,14,11,10,1,0,0,0,2,6,4,2014
155,3,14,10,13,0,0,0,0,2,6,5,2014
156,5,19,11,8,0,0,0,0,2,6,6,2014
