,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
0,1,8,10,21,1,0,0,0,1,1,1,2014
1,7,10,10,27,1,0,0,0,1,1,2,2014
2,6,11,11,26,0,0,0,0,1,1,3,2014
3,9,10,11,21,1,0,0,0,1,1,4,2014
4,3,6,10,16,1,0,0,0,1,1,5,2014
5,6,11,10,27,1,0,0,0,1,1,6,2014
6,8,12,11,23,1,0,0,0,1,1,7,2014
7,8,10,11,14,1,0,0,0,1,1,8,2014
8,32,10,11,18,1,0,0,0,1,1,9,2014
9,12,4,10,6,0,1,0,0,1,1,10,2014
10,1,2,5,8,0,1,0,0,1,1,12,2014
11,9,8,11,11,1,0,0,0,1,1,13,2014
12,2,5,11,16,1,0,0,0,1,1,14,2014
13,78,5,11,13,1,0,0,0,1,1,15,2014
14,16,9,11,21,1,0,0,0,1,1,16,2014
15,6,8,10,24,0,0,0,0,1,1,17,2014
16,1,7,13,8,0,0,0,0,1,1,18,2014
17,2,7,11,6,1,0,0,0,1,1,19,2014
18,8,3,10,11,0,1,0,0,1,1,21,2014
19,5,3,12,14,1,0,0,0,1,1,22,2014
20,5,7,10,10,1,0,0,0,1,1,23,2014
21,12,6,12,6,0,0,0,0,1,1,24,2014
22,1,6,11,16,1,0,0,0,1,1,26,2014
23,2,6,10,24,1,0,0,0,1,1,27,2014
24,11,4,11,18,1,0,0,0,1,1,28,2014
25,16,4,11,13,1,0,0,0,1,1,29,2014
26,22,3,7,11,1,1,0,0,1,1,31,2014
27,6,7,11,26,1,0,0,0,1,2,1,2014
28,1,6,11,13,0,0,0,0,1,2,2,2014
29,3,4,12,10,0,0,0,0,1,2,3,2014
30,1,7,10,23,0,0,0,0,1,2,4,2014
31,4,8,11,31,1,0,0,0,1,2,5,2014
32,1,9,11,23,1,0,0,0,1,2,6,2014
33,4,9,11,35,1,0,0,0,1,2,7,2014
34,2,7,10,29,0,0,0,0,1,2,9,2014
35,5,7,10,10,0,0,0,0,1,2,10,2014
36,5,6,11,19,1,0,0,0,1,2,11,2014
37,6,6,11,18,1,0,0,0,1,2,12,2014
38,9,6,11,21,1,0,0,0,1,2,13,2014
39,11,9,10,18,1,0,0,0,1,2,14,2014
40,2,8,11,18,0,0,0,0,1,2,16,2014
41,1,7,11,13,0,0,0,0,1,2,17,2014
42,2,6,13,8,0,0,0,0,1,2,18,2014
43,13,10,10,16,1,0,0,0,1,2,20,2014
44,4,8,10,19,1,0,0,0,1,2,21,2014
45,2,8,9,10,0,1,0,0,1,2,23,2014
46,7,9,11,13,0,0,0,0,1,2,24,2014
47,3,10,10,21,1,0,0,0,1,2,25,2014
48,8,8,11,10,0,0,0,0,1,2,26,2014
