,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
0,2,9,10,8,0,0,0,0,2,4,7,2015
1,20,9,9,6,0,0,0,0,2,4,8,2015
2,48,12,9,6,0,0,0,0,2,4,9,2015
3,10,13,10,10,0,0,0,0,2,4,10,2015
4,14,11,9,6,0,1,0,0,2,4,12,2015
5,37,13,12,3,0,0,0,0,2,4,13,2015
6,6,17,11,6,0,0,0,0,2,4,14,2015
7,8,18,11,6,0,0,0,0,2,4,15,2015
8,12,17,10,6,0,0,0,0,2,4,16,2015
9,4,16,10,8,1,0,0,0,2,4,17,2015
10,1,11,13,21,0,0,0,0,2,4,18,2015
11,16,11,13,18,0,0,0,0,2,4,19,2015
12,30,13,12,13,0,0,0,0,2,4,20,2015
13,46,14,12,11,0,0,0,0,2,4,21,2015
14,20,13,12,16,0,0,0,0,2,4,22,2015
15,56,13,10,10,0,0,0,0,2,4,23,2015
16,45,13,12,8,1,0,0,0,2,4,24,2015
17,2,15,10,10,1,0,0,1,2,4,25,2015
18,3,13,11,8,1,0,0,0,2,4,26,2015
19,1,11,10,14,1,0,0,0,2,4,27,2015
20,13,9,11,11,0,0,0,0,2,4,28,2015
21,13,9,11,10,1,0,0,0,2,4,29,2015
22,9,9,10,11,1,0,0,0,2,4,30,2015
23,2,11,11,8,1,0,0,0,2,5,2,2015
24,4,16,9,13,1,0,0,0,2,5,3,2015
25,6,15,11,14,1,0,0,0,2,5,4,2015
26,45,17,11,21,1,0,0,0,2,5,5,2015
27,11,13,11,24,1,0,0,0,2,5,6,2015
28,25,12,11,11,0,0,0,0,2,5,7,2015
29,3,14,10,8,0,0,0,0,2,5,8,2015
30,8,17,10,18,0,0,0,0,2,5,9,2015
31,2,17,11,8,0,0,0,0,2,5,10,2015
32,4,19,11,8,0,0,0,0,2,5,11,2015
33,30,17,11,10,0,0,0,0,2,5,12,2015
34,31,13,11,8,1,0,0,0,2,5,13,2015
35,5,13,11,10,1,1,0,0,2,5,14,2015
36,14,12,12,8,0,0,0,0,2,5,15,2015
37,13,12,11,8,0,0,0,0,2,5,16,2015
38,5,13,12,8,0,0,0,0,2,5,17,2015
39,24,13,12,10,1,0,0,0,2,5,18,2015
40,30,11,10,18,1,0,0,1,2,5,19,2015
41,46,10,11,11,1,0,0,0,2,5,20,2015
42,46,12,11,6,0,0,0,0,2,5,21,2015
43,54,12,13,5,0,0,0,0,2,5,22,2015
44,5,17,11,8,0,0,0,0,2,5,23,2015
45,4,16,12,8,0,0,0,0,2,5,24,2015
46,4,16,11,11,1,0,0,0,2,5,25,2015
47,8,14,11,10,0,0,0,0,2,5,26,2015
48,35,14,12,5,0,0,0,0,2,5,27,2015
49,25,16,14,8,0,0,0,0,2,5,28,2015
50,68,15,11,10,0,0,0,0,2,5,29,2015
51,4,14,11,14,1,0,0,0,2,5,31,2015
52,44,13,15,11,0,0,0,0,2,6,1,2015
53,10,18,13,24,1,0,0,0,2,6,2,2015
54,6,17,12,18,1,0,0,0,2,6,3,2015
55,88,18,19,10,0,0,0,0,2,6,4,2015
56,123,24,17,11,0,0,0,0,2,6,5,2015
57,4,17,13,10,0,0,0,0,2,6,6,2015
58,5,14,17,10,0,0,0,0,2,6,7,2015
59,32,14,22,18,0,0,0,0,2,6,8,2015
60,52,14,14,23,0,0,0,0,2,6,9,2015
61,39,17,16,21,0,0,0,0,2,6,10,2015
62,79,22,22,13,0,0,0,0,2,6,11,2015
63,15,22,14,13,0,0,0,0,2,6,12,2015
64,2,21,17,13,0,0,0,0,2,6,13,2015
65,7,18,19,10,0,0,0,0,2,6,14,2015
66,38,17,11,13,0,0,0,0,2,6,15,2015
67,125,16,14,13,0,0,0,0,2,6,16,2015
68,47,18,15,8,0,0,0,0,2,6,17,2015
