,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
0,6,11,11,26,0,0,0,0,1,1,3,2014
1,3,10,11,21,1,0,0,0,1,1,4,2014
2,5,6,10,16,1,0,0,0,1,1,5,2014
3,1,11,10,27,1,0,0,0,1,1,6,2014
4,6,12,11,23,1,0,0,0,1,1,7,2014
5,13,10,11,14,1,0,0,0,1,1,8,2014
6,16,10,11,18,1,0,0,0,1,1,9,2014
7,8,4,10,6,0,1,0,0,1,1,10,2014
8,8,4,5,5,1,1,0,0,1,1,11,2014
9,5,8,11,11,1,0,0,0,1,1,13,2014
10,5,5,11,16,1,0,0,0,1,1,14,2014
11,5,5,11,13,1,0,0,0,1,1,15,2014
12,5,9,11,21,1,0,0,0,1,1,16,2014
13,13,8,10,24,0,0,0,0,1,1,17,2014
14,3,7,13,8,0,0,0,0,1,1,18,2014
15,4,6,12,5,0,0,0,0,1,1,20,2014
16,19,3,10,11,0,1,0,0,1,1,21,2014
17,4,3,12,14,1,0,0,0,1,1,22,2014
18,9,7,10,10,1,0,0,0,1,1,23,2014
19,17,6,12,6,0,0,0,0,1,1,24,2014
20,2,7,12,13,1,0,0,0,1,1,25,2014
21,9,6,10,24,1,0,0,0,1,1,27,2014
22,6,4,11,18,1,0,0,0,1,1,28,2014
23,17,4,11,13,1,0,0,0,1,1,29,2014
24,9,6,12,8,0,0,0,0,1,1,30,2014
25,9,3,7,11,1,1,0,0,1,1,31,2014
26,3,6,11,13,0,0,0,0,1,2,2,2014
27,12,4,12,10,0,0,0,0,1,2,3,2014
28,10,7,10,23,0,0,0,0,1,2,4,2014
29,8,8,11,31,1,0,0,0,1,2,5,2014
30,19,9,11,23,1,0,0,0,1,2,6,2014
31,4,9,11,35,1,0,0,0,1,2,7,2014
32,3,8,10,29,1,0,0,0,1,2,8,2014
33,11,7,10,10,0,0,0,0,1,2,10,2014
34,7,6,11,19,1,0,0,0,1,2,11,2014
35,8,6,11,18,1,0,0,0,1,2,12,2014
36,8,6,11,21,1,0,0,0,1,2,13,2014
37,10,9,10,18,1,0,0,0,1,2,14,2014
38,6,9,11,31,0,0,0,0,1,2,15,2014
39,8,7,11,13,0,0,0,0,1,2,17,2014
40,6,6,13,8,0,0,0,0,1,2,18,2014
41,4,10,10,16,1,0,0,0,1,2,20,2014
42,1,8,10,19,1,0,0,0,1,2,21,2014
43,5,9,11,13,0,0,0,0,1,2,24,2014
44,13,10,10,21,1,0,0,0,1,2,25,2014
45,12,8,11,10,0,0,0,0,1,2,26,2014
46,9,6,10,11,1,0,0,0,1,2,27,2014
47,6,7,11,13,1,0,0,0,1,2,28,2014
48,1,6,12,10,1,0,0,0,1,3,1,2014
49,9,4,8,10,0,0,0,0,1,3,2,2014
50,19,7,11,21,1,0,0,0,1,3,3,2014
51,3,7,10,6,0,0,0,0,1,3,4,2014
52,14,7,11,5,0,0,0,0,1,3,5,2014
53,9,8,11,5,0,0,0,0,1,3,6,2014
54,3,8,9,6,0,0,0,0,1,3,7,2014
