,Count,T_avg,V_avg,W_avg,rain,fog,snow,Thunderstorms,Quarter,Month,Day,Year
0,17,8,10,21,1,0,0,0,1,1,1,2014
1,4,10,10,27,1,0,0,0,1,1,2,2014
2,5,11,10,27,1,0,0,0,1,1,6,2014
3,6,12,11,23,1,0,0,0,1,1,7,2014
4,3,10,11,14,1,0,0,0,1,1,8,2014
5,7,10,11,18,1,0,0,0,1,1,9,2014
6,3,8,11,11,1,0,0,0,1,1,13,2014
7,8,9,11,21,1,0,0,0,1,1,16,2014
8,5,8,10,24,0,0,0,0,1,1,17,2014
9,6,6,12,5,0,0,0,0,1,1,20,2014
10,6,3,10,11,0,1,0,0,1,1,21,2014
11,3,3,12,14,1,0,0,0,1,1,22,2014
12,2,7,10,10,1,0,0,0,1,1,23,2014
13,8,6,10,24,1,0,0,0,1,1,27,2014
14,4,4,11,18,1,0,0,0,1,1,28,2014
15,15,4,11,13,1,0,0,0,1,1,29,2014
16,8,6,12,8,0,0,0,0,1,1,30,2014
17,7,3,7,11,1,1,0,0,1,1,31,2014
18,7,6,11,13,0,0,0,0,1,2,2,2014
19,2,4,12,10,0,0,0,0,1,2,3,2014
20,6,7,10,23,0,0,0,0,1,2,4,2014
21,1,8,11,31,1,0,0,0,1,2,5,2014
22,2,9,11,23,1,0,0,0,1,2,6,2014
23,8,9,11,35,1,0,0,0,1,2,7,2014
24,5,7,10,29,0,0,0,0,1,2,9,2014
25,1,7,10,10,0,0,0,0,1,2,10,2014
26,7,6,11,19,1,0,0,0,1,2,11,2014
27,2,6,11,18,1,0,0,0,1,2,12,2014
28,5,6,11,21,1,0,0,0,1,2,13,2014
29,5,9,11,31,0,0,0,0,1,2,15,2014
30,4,8,11,18,0,0,0,0,1,2,16,2014
31,3,7,11,13,0,0,0,0,1,2,17,2014
32,2,6,13,8,0,0,0,0,1,2,18,2014
33,2,9,12,8,1,0,0,0,1,2,19,2014
34,4,10,10,16,1,0,0,0,1,2,20,2014
35,6,8,10,19,1,0,0,0,1,2,21,2014
36,1,7,10,13,1,0,0,0,1,2,22,2014
37,6,8,9,10,0,1,0,0,1,2,23,2014
38,4,10,10,21,1,0,0,0,1,2,25,2014
39,4,8,11,10,0,0,0,0,1,2,26,2014
40,2,6,10,11,1,0,0,0,1,2,27,2014
41,1,7,11,13,1,0,0,0,1,2,28,2014
42,1,7,11,21,1,0,0,0,1,3,3,2014
43,5,7,10,6,0,0,0,0,1,3,4,2014
44,3,7,11,5,0,0,0,0,1,3,5,2014
45,11,8,11,5,0,0,0,0,1,3,6,2014
46,11,8,9,6,0,0,0,0,1,3,7,2014
47,2,11,9,8,0,0,0,0,1,3,10,2014
48,3,12,4,14,0,0,0,0,1,3,11,2014
49,7,11,6,10,0,0,0,0,1,3,12,2014
50,3,11,5,3,0,0,0,0,1,3,13,2014
51,2,12,4,3,0,1,0,0,1,3,14,2014
52,1,11,7,14,0,0,0,0,1,3,15,2014
53,1,12,11,11,0,0,0,0,1,3,16,2014
54,1,8,9,8,0,0,0,0,1,3,17,2014
55,3,11,10,8,0,0,0,0,1,3,18,2014
56,7,12,12,11,0,0,0,0,1,3,19,2014
57,1,12,12,11,0,0,0,0,1,3,20,2014
58,3,11,12,21,1,0,0,0,1,3,21,2014
59,1,10,10,21,1,0,0,0,1,3,22,2014
60,3,7,11,16,1,0,0,0,1,3,23,2014
61,12,6,12,6,0,0,0,0,1,3,24,2014
62,2,7,11,11,0,0,0,0,1,3,26,2014
63,2,6,10,6,0,0,0,0,1,3,27,2014
64,2,12,9,13,0,0,0,0,1,3,29,2014
65,4,13,10,6,0,0,0,0,1,3,31,2014
66,1,13,11,10,0,0,0,0,2,4,2,2014
67,5,14,11,13,0,0,0,0,2,4,3,2014
