username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ligne3_RATP;2017-10-11 13:28;0;0;"Retour à un trafic régulier sur l'ensemble de la #Ligne3bis #RATP . Incident terminé.";;;#Ligne3bis #RATP;"918075827639783424";https://twitter.com/Ligne3_RATP/status/918075827639783424
Ligne3_RATP;2017-10-11 12:01;2;2;"11:58, le trafic est perturbé sur la ligne (incident d'exploitation) #RATP #Ligne3bis";;;#RATP #Ligne3bis;"918053931741302786";https://twitter.com/Ligne3_RATP/status/918053931741302786
Ligne3_RATP;2017-10-10 17:04;0;0;"[ #Fermeture #Ligne3bis ] La ligne 3 bis sera fermée pour travaux du 10 au 12 novembre inclus. Plus d'information : http:// ow.ly/4jJu30fu9tj pic.twitter.com/dL5O6UH1lE";;;#Fermeture #Ligne3bis;"917767769126563840";https://twitter.com/Ligne3_RATP/status/917767769126563840
Ligne3_RATP;2017-10-10 09:31;0;1;"Retour à un trafic régulier sur l'ensemble de la #Ligne3 #RATP . Incident terminé.";;;#Ligne3 #RATP;"917653797274570752";https://twitter.com/Ligne3_RATP/status/917653797274570752
Ligne3_RATP;2017-10-10 08:54;4;0;"08:52, le trafic est perturbé entre Pte de Champerret et Pont de Levallois-Becon (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917644484560769024";https://twitter.com/Ligne3_RATP/status/917644484560769024
Ligne3_RATP;2017-10-10 08:54;3;0;"08:52, le trafic est perturbé sur la ligne (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917644483411488768";https://twitter.com/Ligne3_RATP/status/917644483411488768
Ligne3_RATP;2017-10-10 08:40;3;0;"08:37, le trafic reprend progressivement entre Pte de Champerret et Pont de Levallois-Becon (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917640960401690624";https://twitter.com/Ligne3_RATP/status/917640960401690624
Ligne3_RATP;2017-10-10 08:24;3;0;"08:21, le trafic est interrompu entre Pte de Champerret et Pont de Levallois-Becon (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917636933685309440";https://twitter.com/Ligne3_RATP/status/917636933685309440
Ligne3_RATP;2017-10-10 08:12;1;0;"08:11, la rame stationne à Pte de Champerret en dir. de Pont de Levallois-Becon (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917633914306482176";https://twitter.com/Ligne3_RATP/status/917633914306482176
Ligne3_RATP;2017-10-10 08:11;1;0;"08:09, la rame stationne à Temple en dir. de Pont de Levallois-Becon (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"917633662803423232";https://twitter.com/Ligne3_RATP/status/917633662803423232
Ligne3_RATP;2017-10-10 06:57;0;1;"Travaux terminés sur la ligne #Ligne3bis .";;;#Ligne3bis;"917615144607379461";https://twitter.com/Ligne3_RATP/status/917615144607379461
Ligne3_RATP;2017-10-09 14:12;0;1;"Demain, le trafic sera normal sur votre #ligne3 #RATP . En savoir plus : http:// ratp.fr/infos-trafic #greve10octobre pic.twitter.com/CqmpSki9Yk";;;#ligne3 #RATP #greve10octobre;"917362098627383296";https://twitter.com/Ligne3_RATP/status/917362098627383296
Ligne3_RATP;2017-10-07 11:00;0;0;"Pr vs faire profiter de la #NuitBlanche la #RATP adapte son offre de transport + d’infos : https: http://www. ratp.fr/nuitblanche . Bonne soirée !";;;#NuitBlanche #RATP;"916589030648762368";https://twitter.com/Ligne3_RATP/status/916589030648762368
Ligne3_RATP;2017-10-06 14:10;0;0;"Pr vs faire profiter de la #NuitBlanche la #RATP adapte son offre de transport + d’infos : https: http://www. ratp.fr/nuitblanche . Bonne soirée !";;;#NuitBlanche #RATP;"916274357911113728";https://twitter.com/Ligne3_RATP/status/916274357911113728
Ligne3_RATP;2017-10-04 22:48;0;1;"Retour à un trafic régulier sur l'ensemble de la #Ligne3 #RATP . Incident terminé.";;;#Ligne3 #RATP;"915680153291935744";https://twitter.com/Ligne3_RATP/status/915680153291935744
Ligne3_RATP;2017-10-04 21:58;0;2;"Trafic interrompu entre République et Opéra. Colis suspect #Ligne3 #RATP";;;#Ligne3 #RATP;"915667461822967808";https://twitter.com/Ligne3_RATP/status/915667461822967808
Ligne3_RATP;2017-10-01 17:56;0;0;"Retour à un trafic régulier sur l'ensemble de la #Ligne3 #RATP . Incident terminé.";;;#Ligne3 #RATP;"914519279315439616";https://twitter.com/Ligne3_RATP/status/914519279315439616
Ligne3_RATP;2017-10-01 16:38;2;0;"16:35, le trafic est perturbé sur la ligne (incident technique) #RATP #Ligne3";;;#RATP #Ligne3;"914499650127876096";https://twitter.com/Ligne3_RATP/status/914499650127876096
Ligne3_RATP;2017-09-30 09:47;0;1;"Retour à un trafic régulier sur l'ensemble de la #Ligne3 #RATP . Incident terminé.";;;#Ligne3 #RATP;"914033851374227456";https://twitter.com/Ligne3_RATP/status/914033851374227456
Ligne3_RATP;2017-09-30 09:24;2;0;"09:21, le trafic est perturbé sur la ligne (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"914028042854551552";https://twitter.com/Ligne3_RATP/status/914028042854551552
Ligne3_RATP;2017-09-30 09:02;2;0;"08:56, le trafic reprend progressivement (malaise voyageur) #RATP #Ligne3";;;#RATP #Ligne3;"914022505798651904";https://twitter.com/Ligne3_RATP/status/914022505798651904
