username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RERB;2017-10-12 19:16;0;0;"Toutes les missions sont rendues omnibus. Bonne soirée. ^B";;;;"918525870368854016";https://twitter.com/RERB/status/918525870368854016
RERB;2017-10-12 18:51;1;0;"Bonsoir, le trafic reprend progressivement mais reste perturbé sur l'ensemble de la ligne. Bon courage et bonne soirée. ^B";;;;"918519564295602176";https://twitter.com/RERB/status/918519564295602176
RERB;2017-10-12 18:45;1;0;"Il est également possible de prendre un train vers le sud à Bourg-la-Reine, le trafic reprend progressivement. Bon courage. ^B";;;;"918517978978832385";https://twitter.com/RERB/status/918517978978832385
RERB;2017-10-12 18:40;0;0;"Bonsoir, oui des trains circulent au départ d'Antony, le trafic reste néanmoins perturbé. Bon courage. ^B";;;;"918516779755999232";https://twitter.com/RERB/status/918516779755999232
RERB;2017-10-12 18:36;0;1;"Bonsoir, l'incident est terminé, le trafic reprend progressivement sur l'ensemble de la ligne. Vy";;;;"918515667845906433";https://twitter.com/RERB/status/918515667845906433
RERB;2017-10-12 18:34;4;0;"18:32, le trafic reprend progressivement. Reprise estimée à 19:00. (accident grave de voyageur) #RERB";;;#RERB;"918515228048023553";https://twitter.com/RERB/status/918515228048023553
RERB;2017-10-12 18:33;1;0;"Bonsoir, l'incident à la Croix-de-Berny, le trafic reprend progressivement. Bon courage. ^B";;;;"918515096997060609";https://twitter.com/RERB/status/918515096997060609
RERB;2017-10-12 18:32;4;0;"Fin d'incident à la Croix-de-Berny, reprise progressive du trafic sur l'ensemble de la ligne #RERB";;;#RERB;"918514837776453632";https://twitter.com/RERB/status/918514837776453632
RERB;2017-10-12 18:20;3;0;"[Accident grave de voyageur] En + de la ligne 197, bus de substitution entre Antony et Brg-la-Reine. Desserte des gares intermédiaires #RERB";;;#RERB;"918511606824427520";https://twitter.com/RERB/status/918511606824427520
RERB;2017-10-12 18:15;1;0;"Bonsoir, tous les trains sont terminus Bourg-la-Reine suite à l'accident grave de voyageur. Bon courage. ^B";;;;"918510466107936768";https://twitter.com/RERB/status/918510466107936768
RERB;2017-10-12 18:09;0;0;"Bonsoir, il y a un accident grave de voyageur à Croix-de-Berny. Bon courage. ^B";;;;"918509004799795200";https://twitter.com/RERB/status/918509004799795200
RERB;2017-10-12 18:02;1;0;"Bonsoir, non le trafic est interrompu entre Bourg-la-Reine et Antony dans les deux sens de circulation. Bon courage. ^B";;;;"918507275119222784";https://twitter.com/RERB/status/918507275119222784
RERB;2017-10-12 18:02;5;6;"[Accident grave de voyageur] Des bus de substitut° sont mis en place à Bourg-la -Reine (1er départ 17h38) et Antony (1er départ 17h55) #RERB";;;#RERB;"918507076829278209";https://twitter.com/RERB/status/918507076829278209
RERB;2017-10-12 17:58;0;1;"Bonsoir, voici le lien de notre blog avec les itinéraires de substution: http:// ow.ly/atVW30fPGb7 . Bon courage. ^B";;;;"918506062176800770";https://twitter.com/RERB/status/918506062176800770
RERB;2017-10-12 17:53;0;0;"Bonsoir Baptiste, des trains circulent sur ce tronçon, le trafic est néanmoins très perturbé. Bon courage. ^B";;;;"918504871137021952";https://twitter.com/RERB/status/918504871137021952
RERB;2017-10-12 17:46;0;1;"Bonsoir, je comprends votre agacement mais sachez que nos équipes sont mobilisées pour rétablir un trafic régulier au + vite ^B";;;;"918503082216034305";https://twitter.com/RERB/status/918503082216034305
RERB;2017-10-12 17:30;0;0;"Bonsoir, en direction de l'aéroport CDG, le trafic est très perturbé. Bon courage. ^B";;;;"918499038655340544";https://twitter.com/RERB/status/918499038655340544
RERB;2017-10-12 17:23;0;0;"Bonsoir, oui des trains circulent sur ce tronçon. Bon courage. ^B";;;;"918497417577881600";https://twitter.com/RERB/status/918497417577881600
RERB;2017-10-12 17:20;1;1;"Bonsoir, le trafic est très perturbé de Bourg-la-Reine vers Paris. Bon courage. ^B";;;;"918496548299902976";https://twitter.com/RERB/status/918496548299902976
