idptar;Departement;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CodeINSEE;UFR;PAQT;Tel;Date de mise en accessibilite;Accessibilite Quai Train;STIF
1856;;595260;2431446;1;1;1;1;48.8812991447, 2.27191517268;IDAMIVIF;Les Sablons (Jardin d'acclimatation);92051;0;0;;;0;1001100010001
1887;;592772;2432620;1;1;1;1;48.8918267141, 2.23799203988;IDAMIVIF;La Défense (Grande Arche);92062;0;0;;;0;1001100010001
1751;;605457;2427632;1;1;1;1;48.8470164776, 2.410816879;IDAMIVIF;Porte de Vincennes;75120;0;0;;;0;1001100010001
2433;;596034;2431079;1;1;1;1;48.8780061355, 2.28246563667;IDAMIVIF;Porte Maillot;75117;0;0;;;0;1001100010001
1955;;602713;2427468;1;1;1;1;48.8455597463, 2.37344920163;IDAMIVIF;Gare de Lyon;75112;0;0;;;0;1001100010001
2036;;600839;2428915;1;1;1;1;48.8585696317, 2.3479332425;IDAMIVIF;Châtelet;75101;0;0;;;0;1001100010001
2498;;599456;2429606;1;1;1;1;48.8647801217, 2.3290949511;IDAMIVIF;Tuileries;75101;0;0;;;0;1001100010001
2116;;606737;2427450;1;1;1;1;48.8453687094, 2.42824450629;IDAMIVIF;Bérault;94080;0;0;;;0;1001100010001
2067;;606737;2427450;1;1;1;1;48.8453687094, 2.42824450629;IDAMIVIF;Bérault;94080;0;0;;;0;1001100010001
2241;;597169;2427831;1;1;1;1;48.8488212259, 2.29795296069;IDAMIVIF;La Motte-Picquet-Grenelle;75115;0;0;;;0;1001100100001
1875;;605809;2431308;1;1;1;1;48.880051021, 2.41566020273;IDAMIVIF;Mairie des Lilas;93045;0;0;;;0;1001100110001
2018;;601089;2427595;1;1;1;1;48.8467058283, 2.35133517564;IDAMIVIF;Cardinal-Lemoine;75105;0;0;;;0;1001100100001
2476;;599237;2428066;1;1;1;1;48.8509392477, 2.32611465149;IDAMIVIF;Sèvres-Babylone;75107;0;0;;;0;1001100100001
1893;;601098;2428830;1;1;1;1;48.8578053324, 2.35146077318;IDAMIVIF;Hôtel de Ville;75104;0;0;;;0;1001100110001
967988;;601949;2429880;1;1;1;1;48.8672401446, 2.36305644261;IDAMIVIF;République;75111;0;0;;;0;1001100110001
1758;;603551;2430613;1;1;1;1;48.8738211316, 2.38488636886;IDAMIVIF;Pyrénées;75120;0;0;;;0;1001100110001
1908;;601325;2427490;1;1;1;1;48.8457617165, 2.35454859157;IDAMIVIF;Jussieu;75105;0;0;;;0;1001100100001
2541;;597853;2427613;1;1;1;1;48.8468646613, 2.30726884425;IDAMIVIF;Ségur;75115;0;0;;;0;1001100100001
2275;;597166;2424896;1;1;1;1;48.8224426532, 2.297932102;IDAMIVIF;Malakoff-Plateau de Vanves;92020;0;0;;;0;1001100130001
1756;;604554;2431342;1;1;1;1;48.8803666123, 2.39855961042;IDAMIVIF;Pré-Saint-Gervais;75119;0;0;;;0;1001101070001
1872;;597719;2433968;1;1;1;1;48.9039784414, 2.30540903178;IDAMIVIF;Mairie de Clichy;92024;0;0;;;0;1001100130001
1718;;604966;2430383;1;1;1;1;48.8717447834, 2.40416253824;IDAMIVIF;Saint-Fargeau;75120;0;0;;;0;1001101030001
1166839;;599094;2430140;1;1;1;1;48.8695789298, 2.32416248546;IDAMIVIF;Madeleine;75108;1;0;;;1;1001100140001
