Date,T_high,T_avg,T_low,V_high,V_avg,V_low,W_high,W_avg,rain,fog,snow,Thunderstorms,R_F_S_T
2012/1/1,14,13,12,10,10,5,35,19,1,0,1,0,1
2012/1/2,11,8,5,10,9,2,26,18,1,1,0,0,1
2012/1/3,13,9,6,10,10,10,47,24,1,0,0,0,1
2012/1/4,10,8,5,10,10,10,34,19,0,0,0,0,0
2012/1/5,12,10,8,10,9,5,42,32,1,0,0,0,1
2012/1/6,9,7,4,10,10,10,21,13,0,0,0,0,0
2012/1/7,12,9,6,10,10,6,26,14,1,0,0,0,1
2012/1/8,9,8,8,10,10,10,14,11,0,0,0,0,0
2012/1/9,12,9,7,10,10,9,14,8,0,0,0,0,0
2012/1/10,11,9,8,10,9,6,10,6,1,0,0,0,1
2012/1/11,12,8,5,10,10,6,6,2,0,0,0,0,0
2012/1/12,11,7,4,10,10,5,21,6,0,0,0,0,0
2012/1/13,10,7,3,10,9,0,14,6,0,1,0,0,1
2012/1/14,6,2,-1,10,9,1,19,6,0,1,0,0,1
2012/1/15,6,2,-2,10,10,10,23,11,0,0,0,0,0
2012/1/16,5,1,-2,10,10,10,23,11,0,0,0,0,0
2012/1/17,6,1,-4,10,10,5,10,5,0,0,0,0,0
2012/1/18,7,2,-2,10,7,2,23,8,1,0,0,0,1
2012/1/19,13,10,8,10,9,2,37,19,1,0,0,0,1
2012/1/20,9,8,7,10,10,10,26,19,1,0,0,0,1
2012/1/21,12,10,9,10,10,8,29,21,1,0,0,0,1
2012/1/22,11,9,8,10,10,10,24,18,0,0,0,0,0
2012/1/23,10,8,5,10,10,7,19,11,1,0,0,0,1
2012/1/24,7,4,3,10,8,1,19,8,1,1,0,0,1
2012/1/25,11,8,6,10,5,1,11,3,1,1,0,0,1
2012/1/26,10,8,5,10,10,4,23,11,1,0,0,0,1
2012/1/27,10,6,1,10,10,8,14,3,1,0,0,0,1
2012/1/28,6,4,3,10,10,7,13,8,1,0,0,0,1
2012/1/29,4,2,0,10,8,6,19,11,0,0,0,0,0
2012/1/30,1,0,-1,10,10,8,14,6,0,0,0,0,0
2012/1/31,1,0,-2,10,8,5,14,10,0,0,0,0,0
2012/2/1,-1,-3,-5,10,9,5,24,16,0,0,0,0,0
2012/2/2,-2,-6,-8,10,10,10,29,21,0,0,0,0,0
2012/2/3,-2,-6,-9,10,10,6,23,14,0,0,1,0,1
2012/2/4,-2,-6,-8,10,10,9,14,8,0,0,0,0,0
2012/2/5,-3,-4,-6,10,10,5,24,13,0,0,1,0,1
2012/2/6,-1,-3,-6,10,10,8,8,3,0,0,0,0,0
2012/2/7,-2,-6,-10,10,9,3,27,11,0,0,1,0,1
2012/2/8,-1,-4,-7,10,9,3,24,16,0,0,1,0,1
2012/2/9,1,-4,-8,10,8,4,16,8,0,0,0,0,0
2012/2/10,1,-3,-7,10,8,5,23,11,0,0,0,0,0
2012/2/11,0,-4,-9,10,8,5,21,11,0,0,0,0,0
2012/2/12,0,-4,-9,10,7,5,13,8,0,0,0,0,0
2012/2/13,5,2,-1,10,6,0,14,6,1,1,0,0,1
2012/2/14,7,6,4,10,10,6,23,14,1,0,0,0,1
2012/2/15,9,7,4,10,10,10,23,14,1,0,0,0,1
2012/2/16,8,7,6,10,10,10,16,11,0,0,0,0,0
2012/2/17,9,7,4,10,9,5,14,10,1,0,0,0,1
2012/2/18,11,9,8,10,9,2,24,11,1,0,0,0,1
2012/2/19,8,3,-1,10,10,5,26,13,1,0,0,0,1
2012/2/20,7,1,-4,10,10,5,10,3,0,0,0,0,0
2012/2/21,10,4,-2,10,10,9,11,3,0,0,0,0,0
2012/2/22,10,4,-2,10,9,5,16,8,0,0,0,0,0
2012/2/23,12,9,7,10,9,2,19,11,0,0,0,0,0
2012/2/24,14,11,9,10,8,1,13,10,0,1,0,0,1
2012/2/25,11,9,8,10,7,2,16,6,1,0,0,0,1
2012/2/26,11,8,5,10,9,6,11,6,0,0,0,0,0
2012/2/27,13,7,2,10,8,5,16,5,0,0,0,0,0
2012/2/28,12,9,7,10,10,9,13,6,0,0,0,0,0
2012/2/29,14,10,7,10,9,6,14,6,0,0,0,0,0
2012/3/1,11,9,7,10,5,0,11,8,0,1,0,0,1
2012/3/2,11,9,8,10,7,3,13,6,0,0,0,0,0
2012/3/3,11,9,7,10,9,5,19,10,1,0,0,0,1
2012/3/4,11,8,5,10,8,2,32,13,1,0,0,0,1
2012/3/5,9,7,4,10,10,10,37,24,1,0,0,0,1
2012/3/6,7,4,2,10,10,5,21,13,1,0,0,0,1
2012/3/7,8,4,0,10,8,2,29,8,1,0,0,0,1
2012/3/8,10,6,1,10,10,10,16,10,0,0,0,0,0
2012/3/9,14,7,0,10,10,10,10,3,0,0,0,0,0
2012/3/10,12,10,8,10,10,10,11,5,0,0,0,0,0
2012/3/11,13,10,7,10,9,5,16,8,0,0,0,0,0
2012/3/12,17,10,3,10,7,0,13,6,0,1,0,0,1
2012/3/13,15,11,7,9,5,0,19,11,0,1,0,0,1
2012/3/14,15,9,3,8,6,3,13,8,0,0,0,0,0
2012/3/15,22,12,2,10,8,3,16,6,0,0,0,0,0
2012/3/16,23,13,4,10,7,1,21,6,0,1,0,0,1
2012/3/17,12,10,8,10,8,2,24,11,1,0,0,0,1
2012/3/18,10,8,7,10,10,9,16,10,1,0,0,0,1
2012/3/19,11,7,4,10,10,7,19,13,0,0,0,0,0
2012/3/20,14,7,0,10,10,7,10,3,0,0,0,0,0
2012/3/21,17,10,3,10,9,5,26,11,0,0,0,0,0
2012/3/22,20,13,6,10,10,10,14,8,0,0,0,0,0
2012/3/23,22,13,4,10,9,6,13,5,0,0,0,0,0
2012/3/24,21,13,6,10,8,5,11,6,0,0,0,0,0
2012/3/25,22,14,8,10,7,2,21,11,0,0,0,0,0
2012/3/26,21,13,7,10,9,7,26,11,0,0,0,0,0
2012/3/27,21,13,7,10,10,9,24,10,0,0,0,0,0
2012/3/28,20,14,8,10,9,5,19,10,0,0,0,0,0
2012/3/29,20,13,7,10,9,4,21,10,0,0,0,0,0
2012/3/30,19,12,5,10,9,6,19,8,0,0,0,0,0
2012/3/31,12,9,6,10,8,5,23,8,0,0,0,0,0
2012/4/1,13,7,2,10,10,10,21,14,0,0,0,0,0
2012/4/2,16,9,2,10,10,10,13,10,0,0,0,0,0
2012/4/3,18,10,3,10,10,9,21,6,1,0,0,0,1
2012/4/4,13,9,5,10,9,7,14,5,1,0,0,0,1
2012/4/5,11,7,4,10,6,2,21,11,1,0,0,0,1
2012/4/6,14,9,5,10,8,5,16,13,0,0,0,0,0
2012/4/7,13,9,5,10,10,10,26,8,1,0,0,0,1
2012/4/8,11,6,1,10,10,10,21,10,1,0,0,0,1
2012/4/9,13,11,9,10,10,10,32,16,1,0,0,0,1
2012/4/10,12,10,8,10,10,10,29,19,1,0,0,0,1
2012/4/11,14,8,3,10,10,10,27,13,1,0,0,0,1
2012/4/12,14,9,4,10,9,2,21,8,1,1,0,0,1
2012/4/13,15,8,2,10,10,9,14,6,0,0,0,0,0
2012/4/14,14,10,6,10,10,9,24,10,1,0,0,0,1
2012/4/15,10,8,5,10,10,10,32,23,0,0,0,0,0
2012/4/16,11,6,2,10,10,10,26,16,0,0,0,0,0
2012/4/17,10,5,0,10,10,9,37,11,1,0,0,0,1
2012/4/18,11,8,6,10,10,1,40,19,1,0,0,0,1
2012/4/19,15,10,6,10,10,10,23,16,0,0,0,0,0
2012/4/20,14,10,6,10,10,9,24,11,1,0,0,1,1
2012/4/21,13,10,7,10,10,10,27,18,1,0,0,0,1
2012/4/22,12,8,5,10,10,9,34,16,1,0,0,1,1
2012/4/23,11,8,5,10,10,5,47,16,1,0,0,0,1
2012/4/24,12,9,7,10,9,3,29,14,1,0,0,0,1
2012/4/25,13,10,7,10,10,10,40,21,1,0,0,0,1
2012/4/26,17,13,10,10,10,10,37,27,1,0,0,1,1
2012/4/27,14,12,10,10,10,10,26,18,1,0,0,0,1
2012/4/28,15,13,11,10,8,5,21,10,1,0,0,0,1
2012/4/29,19,16,12,10,10,3,50,26,1,0,0,0,1
2012/4/30,19,14,10,10,10,9,32,13,1,0,0,1,1
2012/5/1,19,14,11,10,10,10,14,8,1,0,0,0,1
2012/5/2,14,12,10,10,10,7,16,10,1,0,0,0,1
2012/5/3,20,15,10,10,9,5,14,8,1,0,0,0,1
2012/5/4,20,14,9,10,10,10,26,6,1,0,0,0,1
2012/5/5,16,13,10,10,9,1,21,8,1,1,0,0,1
2012/5/6,12,10,9,10,9,5,14,10,1,0,0,0,1
2012/5/7,17,11,5,10,9,5,19,6,0,0,0,0,0
2012/5/8,19,16,13,10,10,10,27,13,1,0,0,0,1
2012/5/9,22,18,15,10,10,10,27,18,1,0,0,0,1
2012/5/10,29,22,16,10,10,10,27,14,1,0,0,0,1
2012/5/11,22,17,12,10,10,10,23,11,1,0,0,0,1
2012/5/12,16,12,9,10,10,10,21,13,0,0,0,0,0
2012/5/13,16,10,4,10,10,10,19,10,0,0,0,0,0
2012/5/14,20,12,5,10,10,10,21,6,0,0,0,0,0
2012/5/15,12,10,8,10,10,10,27,14,1,0,0,1,1
2012/5/16,14,10,6,10,10,10,16,10,0,0,0,0,0
2012/5/17,17,10,3,10,10,10,32,11,1,0,0,0,1
2012/5/18,19,14,10,10,10,10,27,14,0,0,0,0,0
2012/5/19,19,14,9,10,10,2,19,11,1,0,0,1,1
2012/5/20,21,16,10,10,9,5,26,8,1,0,0,1,1
2012/5/21,16,13,12,10,6,2,23,13,1,0,0,1,1
2012/5/22,18,16,13,10,8,6,23,14,0,0,0,0,0
2012/5/23,25,18,11,10,9,5,14,8,0,0,0,0,0
2012/5/24,27,21,15,10,7,1,16,8,0,1,0,0,1
2012/5/25,26,21,17,10,9,5,32,14,0,0,0,0,0
2012/5/26,26,19,12,10,10,10,32,16,0,0,0,0,0
2012/5/27,26,19,13,10,10,10,16,8,0,0,0,0,0
2012/5/28,26,19,13,10,10,10,19,10,0,0,0,1,1
2012/5/29,26,19,12,10,10,10,16,8,0,0,0,0,0
2012/5/30,25,19,13,10,10,10,19,6,1,0,0,0,1
2012/5/31,22,18,14,10,10,10,19,10,0,0,0,0,0
2012/6/1,23,19,15,10,10,10,14,10,0,0,0,0,0
2012/6/2,26,19,12,10,10,10,19,8,0,0,0,0,0
2012/6/3,21,18,15,10,10,3,26,11,1,0,0,1,1
2012/6/4,15,12,10,10,10,5,29,13,1,0,0,0,1
2012/6/5,18,11,5,10,10,10,16,6,1,0,0,0,1
2012/6/6,20,17,14,10,10,3,26,16,1,0,0,0,1
2012/6/7,23,19,15,10,10,1,39,13,1,1,0,0,1
2012/6/8,20,17,13,10,10,8,34,23,1,0,0,1,1
2012/6/9,19,14,10,10,10,10,21,13,1,0,0,0,1
2012/6/10,18,14,12,10,10,2,21,6,1,0,0,0,1
2012/6/11,19,16,13,10,10,5,24,11,1,0,0,0,1
2012/6/12,16,13,11,10,10,4,23,10,1,0,0,0,1
2012/6/13,17,13,11,10,10,2,19,11,1,0,0,1,1
2012/6/14,21,14,9,10,9,0,21,10,0,1,0,0,1
2012/6/15,22,18,15,10,10,5,34,13,1,0,0,0,1
2012/6/16,20,18,15,10,10,10,26,16,1,0,0,0,1
2012/6/17,22,17,12,10,10,10,24,16,0,0,0,0,0
2012/6/18,19,16,13,10,10,1,24,11,1,1,0,1,1
2012/6/19,19,14,11,10,10,10,16,8,1,0,0,0,1
2012/6/20,24,18,13,10,9,5,13,8,1,0,0,0,1
2012/6/21,25,20,16,10,10,1,34,13,1,1,0,1,1
2012/6/22,21,17,13,10,10,10,29,24,0,0,0,0,0
2012/6/23,21,16,12,10,10,10,19,11,0,0,0,0,0
2012/6/24,17,16,14,10,9,1,24,11,1,1,0,0,1
2012/6/25,21,16,12,10,10,2,13,8,0,0,0,0,0
2012/6/26,21,18,15,10,10,3,10,5,1,0,0,0,1
2012/6/27,26,20,15,10,10,10,21,5,0,0,0,0,0
2012/6/28,32,24,17,10,10,10,29,11,1,0,0,1,1
2012/6/29,24,20,16,10,10,10,23,14,1,0,0,1,1
